기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2019,1,A,골목상권,1000001,계동길,380891,195531,185361,44984,52028,76557,73593,57732,75999
2019,1,A,골목상권,1000002,난계로27길,393683,206252,187430,26697,57213,72921,64594,70606,101653
2019,1,A,골목상권,1000003,돈화문로11가길,262249,139753,122495,16881,51694,45567,46937,41816,59355
2019,1,A,골목상권,1000004,명륜길,751866,367065,384801,98796,309357,73548,77141,64695,128328
2019,1,A,골목상권,1000005,백석동길,162091,74156,87936,22592,20566,19590,25006,26845,47493
2019,1,A,골목상권,1000006,북촌로11길,139396,67640,71757,14453,19611,26712,26226,21503,30893
2019,1,A,골목상권,1000007,북촌로5길,129561,60969,68592,13084,18769,22255,23708,19560,32183
2019,1,A,골목상권,1000008,북촌로5나길,109175,55202,53974,9796,16708,22613,20001,17287,22770
2019,1,A,골목상권,1000009,삼청로5길,30539,15382,15156,3125,4538,5189,5296,4330,8061
2019,1,A,골목상권,1000010,성균관로5길,425547,198147,227400,60807,159393,54455,49152,41421,60319
2019,1,A,골목상권,1000011,숭인동길,618356,298471,319884,74386,90212,89777,92212,113148,158620
2019,1,A,골목상권,1000012,옥인길,522394,217124,305270,101217,65347,77292,100474,65514,112549
2019,1,A,골목상권,1000013,율곡로10길,172140,95915,76225,9575,35254,29687,32639,28666,36320
2019,1,A,골목상권,1000014,율곡로16길,214910,110817,104092,17531,36363,32309,33970,36987,57749
2019,1,A,골목상권,1000015,이화장길,499519,231401,268119,55751,103993,83114,71894,67746,117020
2019,1,A,골목상권,1000016,자하문로7길,512093,238436,273659,68080,84656,87031,92631,70009,109687
2019,1,A,골목상권,1000017,종로24길,100257,58506,41752,4208,14982,13459,16436,18714,32458
2019,1,A,골목상권,1000018,종로58가길,620362,298014,322348,33851,91138,110395,119697,109024,156257
2019,1,A,골목상권,1000019,종로65길,1342867,650619,692248,117072,212888,218113,214876,240620,339298
2019,1,A,골목상권,1000020,지봉로8길,1105494,524947,580547,131118,143140,159622,170833,190408,310374
2019,1,A,골목상권,1000021,창경궁로35길,289037,133847,155191,48199,56326,38220,44045,37237,65009
2019,1,A,골목상권,1000022,창신2길,475972,223550,252422,36602,51912,54007,78799,109958,144695
2019,1,A,골목상권,1000023,창신5길,754302,352044,402258,69196,90778,90666,119155,157651,226857
2019,1,A,골목상권,1000024,창신길,1159861,542260,617602,135760,152739,146844,192994,229624,301901
2019,1,A,골목상권,1000025,통일로12길,530676,236038,294639,124087,56838,58496,86557,66822,137876
2019,1,A,골목상권,1000026,평창길,22457,8725,13733,2781,1151,2075,3597,4692,8161
2019,1,A,골목상권,1000027,필운대로1길,138127,61990,76136,21555,17992,20049,23755,20910,33864
2019,1,A,골목상권,1000028,난계로11길,1033517,471538,561978,104161,173694,196873,149390,163103,246295
2019,1,A,골목상권,1000029,난계로21길,561388,256484,304907,64135,82620,127101,87294,79578,120660
2019,1,A,골목상권,1000030,다산로33길,1422488,683029,739459,144875,218042,221983,233702,269021,334865
2019,1,A,골목상권,1000031,다산로36길,670100,313285,356814,90959,78714,96266,109391,115296,179476
2019,1,A,골목상권,1000032,다산로38길,663351,312886,350465,69087,99469,106263,115207,120931,152394
2019,1,A,골목상권,1000033,다산로39길,802993,392012,410982,60637,133168,150297,136547,148894,173449
2019,1,A,골목상권,1000034,동호로10길,1365864,639409,726455,179248,193402,224709,206822,192761,368922
2019,1,A,골목상권,1000035,동호로11길,731860,341624,390236,103587,99026,120031,109064,100781,199370
2019,1,A,골목상권,1000036,동호로15길,381849,178978,202872,37999,70243,71144,57080,49440,95943
2019,1,A,골목상권,1000037,동호로20길,529455,250042,279413,51527,96291,95053,86995,77482,122105
2019,1,A,골목상권,1000038,동호로8길,248057,113467,134590,28299,34365,44210,36497,33111,71574
2019,1,A,골목상권,1000039,명동길,158756,78963,79794,8521,36950,38004,31255,20838,23188
2019,1,A,골목상권,1000040,삼일대로4길,310308,159404,150905,14833,67226,71253,62683,44070,50243
2019,1,A,골목상권,1000041,장충단로8길,359728,178577,181151,24772,66942,64735,57957,59729,85592
2019,1,A,골목상권,1000042,청구로17길,656104,307118,348988,78806,111288,109298,108606,96954,151152
2019,1,A,골목상권,1000043,청구로1길,778779,365249,413530,110290,100930,119750,121587,113887,212334
2019,1,A,골목상권,1000044,퇴계로12길,228341,104418,123923,15558,34182,47297,41370,36006,53928
2019,1,A,골목상권,1000045,퇴계로18길,149062,71170,77892,19911,25682,30036,25896,19984,27553
2019,1,A,골목상권,1000046,퇴계로46길,467429,257316,210113,50147,142924,73684,66802,59531,74340
2019,1,A,골목상권,1000047,퇴계로56길,525855,264091,261763,29412,99535,102332,96828,82722,115027
2019,1,A,골목상권,1000048,퇴계로8길,314122,142987,171135,16819,41169,62337,58871,54678,80248
2019,1,A,골목상권,1000049,퇴계로90길,871659,406928,464730,113713,117271,140669,140560,148593,210853
2019,1,A,골목상권,1000050,녹사평대로11길,52794,24927,27868,7840,6154,8103,9924,7302,13473
2019,1,A,골목상권,1000051,녹사평대로26길,231198,115162,116037,14712,56361,50825,34193,28831,46276
2019,1,A,골목상권,1000052,녹사평대로32길,370643,186333,184310,18031,124936,83312,45273,38103,60990
2019,1,A,골목상권,1000053,녹사평대로40나길,312730,159318,153413,25444,75925,69141,49452,35834,56937
2019,1,A,골목상권,1000054,녹사평대로46길,280803,138609,142194,25869,56789,62805,48006,32597,54735
2019,1,A,골목상권,1000055,대사관로34길,282969,138884,144086,18993,49692,66139,49367,35612,63166
2019,1,A,골목상권,1000056,두텁바위로1길,393525,200882,192644,52388,60950,59168,62703,56842,101473
2019,1,A,골목상권,1000057,백범로79길,1057451,479763,577688,188922,159557,183795,171262,131567,222349
2019,1,A,골목상권,1000058,백범로90길,900605,426390,474215,100307,141282,208804,163167,121720,165325
2019,1,A,골목상권,1000059,서빙고로71길,453526,215818,237708,58684,55161,63599,86531,60967,128585
2019,1,A,골목상권,1000060,소월로20길,1052583,475052,577531,121776,163938,213774,150766,118186,284144
