기준 년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2018,4,A,골목상권,1000423,증산로15길,345620,169326,176294,83474,32414,41216,50745,47193,90577
2018,4,A,골목상권,1000611,개봉로17다길,502769,236814,265956,75087,59098,78919,72346,71056,146264
2018,4,A,골목상권,1000047,퇴계로56길,551472,269040,282432,29197,108351,106668,98149,88074,121033
2018,4,A,골목상권,1000612,개봉로1길,492852,234137,258715,90500,53985,82917,75128,74283,116038
2018,4,A,골목상권,1000049,퇴계로90길,905949,415311,490638,122751,124708,157916,139625,141453,219496
2018,4,A,골목상권,1000613,개봉로20길,688819,322694,366125,128394,73867,107433,104263,97728,177133
2018,4,A,골목상권,1000050,녹사평대로11길,41429,19542,21888,6939,5076,6305,8138,5514,9456
2018,4,A,골목상권,1000614,개봉로23가길,563256,268122,295134,97769,69512,84869,87429,84463,139215
2018,4,A,골목상권,1000053,녹사평대로40나길,396647,198298,198348,32344,102236,87330,61273,44038,69427
2018,4,A,골목상권,1000615,개봉로2길,386223,174204,212021,74011,35729,55586,53378,57883,109637
2018,4,A,골목상권,1000054,녹사평대로46길,281600,136505,145095,24974,58145,64518,47376,31947,54639
2018,4,A,골목상권,1000616,개봉로3길,360158,169727,190433,65954,37483,59107,55624,54773,87217
2018,4,A,골목상권,1000056,두텁바위로1길,391581,200952,190630,50276,62453,61539,61983,56202,99129
2018,4,A,골목상권,1000617,경인로15길,641677,298692,342985,84863,82324,94153,97778,92146,190413
2018,4,A,골목상권,1000057,백범로79길,1071332,486605,584728,208431,165332,182202,169217,129438,216712
2018,4,A,골목상권,1000618,경인로31길,354577,170137,184440,46362,42674,46026,53909,60610,104995
2018,4,A,골목상권,1000424,증산로17길,650925,305140,345785,101068,77127,88304,96207,98410,189809
2018,4,A,골목상권,1000619,경인로35길,713075,343760,369315,97459,84457,95112,103645,120544,211857
2018,4,A,골목상권,1000426,증산로5길,646121,292968,353153,114620,73530,86230,93950,88553,189239
2018,4,A,골목상권,1000620,경인로47길,573622,299779,273844,111722,106772,74373,83286,72457,125012
2018,4,A,골목상권,1000427,증산로9길,549062,247955,301107,95023,61078,72979,81099,77180,161702
2018,4,A,골목상권,1000621,고척로21나길,452539,212236,240303,77730,47342,53188,64234,63992,146054
2018,4,A,골목상권,1000063,우사단로14길,368335,189970,178364,23472,86321,97524,63867,42781,54369
2018,4,A,골목상권,1000622,고척로27길,1140291,556160,584131,202692,126626,158200,186596,186155,280024
2018,4,A,골목상권,1000440,세검정로1길,331008,142507,188502,55676,35918,39722,50510,51758,97426
2018,4,A,골목상권,1000623,고척로27다길,692328,327414,364915,129314,78911,95194,104153,111437,173320
2018,4,A,골목상권,1000432,통일로78길,394971,172835,222136,61069,51130,60710,56111,54440,111511
2018,4,A,골목상권,1000624,고척로52길,737613,343638,393975,123815,83204,105120,111809,113191,200474
2018,4,A,골목상권,1000434,통일로92길,1300370,628948,671422,177041,185628,200610,176968,199135,360987
2018,4,A,골목상권,1000625,공원로6가길,621923,295495,326429,63437,110344,126884,91666,88670,140921
2018,4,A,골목상권,1000435,가재울로6길,979007,448975,530031,138338,143953,131597,146917,133260,284942
2018,4,A,골목상권,1000626,구로동로15길,277692,139683,138008,20425,30525,44253,49858,52663,79970
2018,4,A,골목상권,1000438,모래내로15길,409712,185180,224533,76802,40026,61862,68539,58570,103914
2018,4,A,골목상권,1000627,구로동로28길,441699,207231,234468,31256,52109,69684,78466,81149,129035
2018,4,A,골목상권,1000439,북아현로4길,3983109,2008807,1974303,383319,672549,920649,787838,566082,652672
2018,4,A,골목상권,1000628,구로동로38길,767637,372691,394948,81329,110176,125600,132976,132480,185077
2018,4,A,골목상권,1000441,세무서2길,276101,119001,157100,38751,35872,37570,41828,42058,80024
2018,4,A,골목상권,1000629,구로동로41길,967533,473460,494072,76268,130425,160491,172274,181774,246302
2018,4,A,골목상권,1000442,세무서길,866588,387300,479288,130022,109715,101372,132841,131729,260909
2018,4,A,골목상권,1000630,구로동로42길,683810,331127,352684,90353,97257,109521,117144,111623,157913
2018,4,A,골목상권,1000443,수색로8길,678822,307880,370941,118851,79943,89516,106865,97508,186140
2018,4,A,골목상권,1000631,구로동로7길,614031,318005,296026,46920,71722,100733,112206,114579,167871
2018,4,A,골목상권,1000448,증가로20가길,1109475,512255,597220,244284,261752,120187,141619,129274,212359
2018,4,A,골목상권,1000632,구로동로8길,1553597,742855,810743,131652,177267,276631,298246,258365,411438
2018,4,A,골목상권,1000450,증가로6길,938055,442458,495598,126069,165299,123021,148196,135217,240255
2018,4,A,골목상권,1000633,구로중앙로19길,242257,115390,126866,21266,30093,42427,44869,45899,57706
2018,4,A,골목상권,1000451,충정로4길,432224,215935,216289,30569,73575,99332,81587,65448,81712
2018,4,A,골목상권,1000634,구로중앙로28길,745029,353177,391853,97062,97930,122647,119892,122232,185267
2018,4,A,골목상권,1000454,통일로37길,330897,144676,186222,47909,43394,42140,47798,50979,98677
2018,4,A,골목상권,1000635,구로중앙로34길,556149,259212,296937,62182,73989,94167,90060,88467,147284
2018,4,A,골목상권,1000455,통일로39길,1000745,439462,561284,142697,133825,119903,144775,153535,306012
2018,4,A,골목상권,1000636,구로중앙로42길,235557,120272,115286,45405,24004,38606,40780,34323,52440
2018,4,A,골목상권,1000457,홍제내길,796430,349320,447110,142480,99785,102038,125488,114755,211883
2018,4,A,골목상권,1000637,구로중앙로7길,377915,184198,193716,38935,38282,63749,68780,67469,100702
2018,4,A,골목상권,1000078,한강대로15길,272737,144812,127925,24363,42322,52451,49061,38658,65881
2018,4,A,골목상권,1000638,구로중앙로8길,1022970,486475,536496,86563,119510,164731,177451,195827,278889
2018,4,A,골목상권,1000458,광성로6길,728890,378092,350798,113968,195243,103252,102723,79231,134473
